add_model,workspace_dir,conversation_idx,memory_count,conversation_score,arithmetic_mean_score,explicit_textual_support,inference_boundary_compliance,entity_attribution_accuracy,entity_name_and_referent_consistency,pronoun_and_reference_clarity,entity_attribute_accuracy,relationship_accuracy,event_detail_accuracy,temporal_status_accuracy,temporal_value_accuracy,fact_atomicity,exact_duplicate_absence,near_duplicate_absence,entity_coverage,attribute_coverage,event_coverage,relationship_coverage,plan_and_future_commitment_coverage,conciseness,relevance_filtering,structural_consistency,field_and_schema_completeness,field_naming_and_temporal_format_consistency,contradiction_avoidance,negation_accuracy,quantifier_accuracy
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,324,0.925,0.925,0.95,0.9,0.95,0.9,0.85,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.95,0.95
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,1,212,0.9923,0.9923,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,2,422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,3,395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,4,405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,5,374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,6,448,0.9942,0.9942,0.95,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,7,454,0.8923,0.8923,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,8,316,0.8615,0.8615,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,9,414,0.9365,0.9365,0.95,0.9,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.9,0.95,0.95,0.95,0.95
