add_model,workspace_dir,conversation_idx,memory_count,conversation_score,arithmetic_mean_score,fact_sourceability,fact_factual_correctness,fact_temporal_correctness,fact_atomicity,fact_nonredundancy,fact_coverage,fact_conciseness,fact_structural_consistency
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,228,0.8964,0.8813,0.9,0.95,0.9,0.85,0.8,0.9,0.85,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,1,173,0.8786,0.85,0.9,1.0,0.8,0.8,0.7,0.9,0.8,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,2,336,0.7929,0.7625,0.8,0.9,0.8,0.7,0.6,0.8,0.7,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,3,321,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,4,364,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,5,282,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,6,390,0.9071,0.8875,0.85,1.0,1.0,0.85,0.8,0.9,0.85,0.85
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,7,326,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,8,233,0.8643,0.85,0.85,0.95,0.9,0.8,0.85,0.8,0.85,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,9,309,0.8357,0.8125,0.9,0.9,0.8,0.8,0.7,0.8,0.8,0.8
