experiment,family,add_model,conversation_idx,base_score,adjusted_score,penalty,qa_llm_score,memory_count,memory_token_count,coverage_floor_risk,qa_aware_floor_risk,answer_span_coverage,retrieval_empty_rate,selected_answer_coverage,feature_penalties_json
E0_v9_baseline,baseline,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,0,0.8692,0.8504,0.0188,,228,2693,False,,,,,"{""entity_coverage"": 0.018750000000000003}"
E5_keyword_coverage_tfidf,memory_only,deepseek,0,0.8692,0.8517,0.0175,,228,2693,False,,,,,"{""keyword_coverage_tfidf"": 0.017499999999999998}"
E6_pronoun_ambiguity,memory_only,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,0,0.8692,0.8329,0.0363,,228,2693,False,,,,,"{""entity_coverage"": 0.018750000000000003, ""keyword_coverage_tfidf"": 0.017499999999999998, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,0,0.8692,0.8329,0.0363,,228,2693,False,,,,,"{""entity_coverage"": 0.018750000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.017499999999999998, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,0,0.8692,0.8692,0.0,,228,2693,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,0,0.8692,0.8329,0.0363,,228,2693,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.018750000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.017499999999999998, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,{}
E1_memory_count_token,memory_only,deepseek,1,0.85,0.8463,0.0037,,173,2011,True,,,,,"{""memory_count_token"": 0.0036742686017046766}"
E2_exact_duplicate,memory_only,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,1,0.85,0.8262,0.0238,,173,2011,True,,,,,"{""entity_coverage"": 0.02375}"
E5_keyword_coverage_tfidf,memory_only,deepseek,1,0.85,0.8319,0.0181,,173,2011,True,,,,,"{""keyword_coverage_tfidf"": 0.018125000000000002}"
E6_pronoun_ambiguity,memory_only,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,1,0.85,0.8045,0.0455,,173,2011,True,,,,,"{""entity_coverage"": 0.02375, ""keyword_coverage_tfidf"": 0.018125000000000002, ""memory_count_token"": 0.0036742686017046766}"
C2_efficiency_structure_combo,memory_only,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,1,0.85,0.8045,0.0455,,173,2011,True,,,,,"{""entity_coverage"": 0.02375, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018125000000000002, ""memory_count_token"": 0.0036742686017046766, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,1,0.85,0.85,0.0,,173,2011,True,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,1,0.85,0.8045,0.0455,,173,2011,True,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.02375, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018125000000000002, ""memory_count_token"": 0.0036742686017046766, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,2,0.8846,0.8671,0.0175,,336,3892,False,,,,,"{""entity_coverage"": 0.017499999999999998}"
E5_keyword_coverage_tfidf,memory_only,deepseek,2,0.8846,0.8684,0.0162,,336,3892,False,,,,,"{""keyword_coverage_tfidf"": 0.016249999999999997}"
E6_pronoun_ambiguity,memory_only,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,2,0.8846,0.8509,0.0337,,336,3892,False,,,,,"{""entity_coverage"": 0.017499999999999998, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,2,0.8846,0.8509,0.0337,,336,3892,False,,,,,"{""entity_coverage"": 0.017499999999999998, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,2,0.8846,0.8846,0.0,,336,3892,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,2,0.8846,0.8509,0.0337,,336,3892,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.017499999999999998, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,3,0.8038,0.7838,0.02,,321,3907,False,,,,,"{""entity_coverage"": 0.020000000000000004}"
E5_keyword_coverage_tfidf,memory_only,deepseek,3,0.8038,0.7894,0.0144,,321,3907,False,,,,,"{""keyword_coverage_tfidf"": 0.014374999999999999}"
E6_pronoun_ambiguity,memory_only,deepseek,3,0.8038,0.7991,0.0046,,321,3907,False,,,,,"{""pronoun_ambiguity"": 0.00465}"
E7_answer_span_coverage,qa_aware,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,3,0.8038,0.7694,0.0344,,321,3907,False,,,,,"{""entity_coverage"": 0.020000000000000004, ""keyword_coverage_tfidf"": 0.014374999999999999, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,3,0.8038,0.7991,0.0046,,321,3907,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00465}"
C3_memory_only_all,memory_only,deepseek,3,0.8038,0.7648,0.039,,321,3907,False,,,,,"{""entity_coverage"": 0.020000000000000004, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.014374999999999999, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00465}"
C4_qa_aware_all,qa_aware,deepseek,3,0.8038,0.8038,0.0,,321,3907,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,3,0.8038,0.7648,0.039,,321,3907,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.020000000000000004, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.014374999999999999, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00465, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,4,0.8846,0.8684,0.0162,,364,4108,False,,,,,"{""entity_coverage"": 0.016249999999999997}"
E5_keyword_coverage_tfidf,memory_only,deepseek,4,0.8846,0.8684,0.0162,,364,4108,False,,,,,"{""keyword_coverage_tfidf"": 0.016249999999999997}"
E6_pronoun_ambiguity,memory_only,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,4,0.8846,0.8521,0.0325,,364,4108,False,,,,,"{""entity_coverage"": 0.016249999999999997, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,4,0.8846,0.8521,0.0325,,364,4108,False,,,,,"{""entity_coverage"": 0.016249999999999997, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
