model,type,rubric_id,rubric_name,object_count,evaluable_count,avg_score
dpsk-flash,character,character_explicit_textual_support,显式文本支持,59,59,0.9534
dpsk-flash,character,character_inference_boundary_compliance,推断边界合规性,59,59,0.9237
dpsk-flash,character,character_entity_attribution_accuracy,实体归因准确性,59,59,0.9992
dpsk-flash,character,character_core_trait_extraction,核心特质提炼,59,59,0.7873
dpsk-flash,character,character_motivation_drive_explanation,动机/驱动力解释,59,59,0.7025
dpsk-flash,character,character_evolution_tracking,动态演变追踪,59,59,0.6661
dpsk-flash,character,character_emotional_depth,情感温度与真实性,59,59,0.6678
dpsk-flash,character,character_grounding,事实接地性,59,59,0.9525
dpsk-flash,character,character_conciseness,简洁性与可复用性,59,59,0.6881
dpsk-flash,character,character_contradiction_avoidance,矛盾避免,59,59,0.9992
dpsk-flash,character,character_relevance_filtering,相关性过滤,59,59,0.8271
dpsk-flash,event,event_explicit_textual_support,显式文本支持,227,227,0.9956
dpsk-flash,event,event_inference_boundary_compliance,推断边界合规性,227,227,0.9943
dpsk-flash,event,event_action_dominance,动作主导性,227,227,0.9943
dpsk-flash,event,event_temporal_clarity,时间清晰度,227,227,0.9912
dpsk-flash,event,event_impact_outcome,影响/结果交代,227,227,0.6004
dpsk-flash,event,event_element_completeness,要素完整性,227,227,0.9885
dpsk-flash,event,event_grounding,事实接地性,227,227,0.9956
dpsk-flash,event,event_coherence,事件连贯性,227,227,0.9982
dpsk-flash,event,event_conciseness,简洁性,227,227,0.9379
dpsk-flash,event,event_contradiction_avoidance,矛盾避免,227,226,0.9951
dpsk-flash,location,location_explicit_textual_support,显式文本支持,11,11,1.0
dpsk-flash,location,location_inference_boundary_compliance,推断边界合规性,11,11,1.0
dpsk-flash,location,location_specificity,地点具体性,11,11,1.0
dpsk-flash,location,location_function_role,功能/角色清晰度,11,10,0.81
dpsk-flash,location,location_emotional_resonance,情感关联,11,11,0.6727
dpsk-flash,location,location_event_attachment,关联事件/人物挂载,11,10,0.54
dpsk-flash,location,location_frequency_duration,频率/持续性,11,10,0.5
dpsk-flash,location,location_grounding,事实接地性,11,11,1.0
dpsk-flash,location,location_conciseness,简洁性,11,11,0.9
dpsk-flash,location,location_contradiction_avoidance,矛盾避免,11,10,1.0
qwen3-14b,character,character_explicit_textual_support,显式文本支持,79,79,0.9494
qwen3-14b,character,character_inference_boundary_compliance,推断边界合规性,79,79,0.9127
qwen3-14b,character,character_entity_attribution_accuracy,实体归因准确性,79,79,0.9975
qwen3-14b,character,character_core_trait_extraction,核心特质提炼,79,79,0.8582
qwen3-14b,character,character_motivation_drive_explanation,动机/驱动力解释,79,79,0.7772
qwen3-14b,character,character_evolution_tracking,动态演变追踪,79,79,0.6633
qwen3-14b,character,character_emotional_depth,情感温度与真实性,79,79,0.7089
qwen3-14b,character,character_grounding,事实接地性,79,79,0.9481
qwen3-14b,character,character_conciseness,简洁性与可复用性,79,79,0.7646
qwen3-14b,character,character_contradiction_avoidance,矛盾避免,79,79,0.9987
qwen3-14b,character,character_relevance_filtering,相关性过滤,79,79,0.8684
qwen3-14b,event,event_explicit_textual_support,显式文本支持,153,153,0.9712
qwen3-14b,event,event_inference_boundary_compliance,推断边界合规性,153,153,0.9739
qwen3-14b,event,event_action_dominance,动作主导性,153,153,0.9673
qwen3-14b,event,event_temporal_clarity,时间清晰度,153,153,0.9817
qwen3-14b,event,event_impact_outcome,影响/结果交代,153,152,0.7388
qwen3-14b,event,event_element_completeness,要素完整性,153,153,0.9725
qwen3-14b,event,event_grounding,事实接地性,153,153,0.9755
qwen3-14b,event,event_coherence,事件连贯性,153,153,0.9915
qwen3-14b,event,event_conciseness,简洁性,153,153,0.9343
qwen3-14b,event,event_contradiction_avoidance,矛盾避免,153,153,0.9935
qwen3-14b,location,location_explicit_textual_support,显式文本支持,41,41,0.8976
qwen3-14b,location,location_inference_boundary_compliance,推断边界合规性,41,41,0.8951
qwen3-14b,location,location_specificity,地点具体性,41,40,0.9
qwen3-14b,location,location_function_role,功能/角色清晰度,41,40,0.74
qwen3-14b,location,location_emotional_resonance,情感关联,41,41,0.6512
qwen3-14b,location,location_event_attachment,关联事件/人物挂载,41,39,0.5821
qwen3-14b,location,location_frequency_duration,频率/持续性,41,39,0.4256
qwen3-14b,location,location_grounding,事实接地性,41,41,0.8659
qwen3-14b,location,location_conciseness,简洁性,41,41,0.8049
qwen3-14b,location,location_contradiction_avoidance,矛盾避免,41,41,0.961
