model,type,rubric_id,rubric_name,success_object_count,evaluable_count,avg_score
qwen3-14b,character,character_conciseness,简洁性与可复用性,39,44,0.7761
qwen3-14b,character,character_contradiction_avoidance,矛盾避免,39,44,0.9955
qwen3-14b,character,character_core_trait_extraction,核心特质提炼,39,44,0.8659
qwen3-14b,character,character_emotional_depth,情感温度与真实性,39,44,0.7273
qwen3-14b,character,character_entity_attribution_accuracy,实体归因准确性,39,44,0.9955
qwen3-14b,character,character_evolution_tracking,动态演变追踪,39,44,0.6818
qwen3-14b,character,character_explicit_textual_support,显式文本支持,39,44,0.9455
qwen3-14b,character,character_grounding,事实接地性,39,44,0.9477
qwen3-14b,character,character_inference_boundary_compliance,推断边界合规性,39,44,0.9
qwen3-14b,character,character_motivation_drive_explanation,动机/驱动力解释,39,44,0.8307
qwen3-14b,character,character_relevance_filtering,相关性过滤,39,44,0.8966
qwen3-14b,event,event_action_dominance,动作主导性,33,33,0.9727
qwen3-14b,event,event_coherence,事件连贯性,33,33,0.9909
qwen3-14b,event,event_conciseness,简洁性,33,33,0.9364
qwen3-14b,event,event_contradiction_avoidance,矛盾避免,33,33,0.9909
qwen3-14b,event,event_element_completeness,要素完整性,33,33,0.9515
qwen3-14b,event,event_explicit_textual_support,显式文本支持,33,33,0.9788
qwen3-14b,event,event_grounding,事实接地性,33,33,0.9818
qwen3-14b,event,event_impact_outcome,影响/结果交代,33,33,0.8121
qwen3-14b,event,event_inference_boundary_compliance,推断边界合规性,33,33,0.9788
qwen3-14b,event,event_temporal_clarity,时间清晰度,33,33,0.9667
qwen3-14b,location,location_conciseness,简洁性,13,13,0.8077
qwen3-14b,location,location_contradiction_avoidance,矛盾避免,13,12,0.9917
qwen3-14b,location,location_emotional_resonance,情感关联,13,12,0.6417
qwen3-14b,location,location_event_attachment,关联事件/人物挂载,13,13,0.6231
qwen3-14b,location,location_explicit_textual_support,显式文本支持,13,13,0.8769
qwen3-14b,location,location_frequency_duration,频率/持续性,13,12,0.4083
qwen3-14b,location,location_function_role,功能/角色清晰度,13,12,0.7833
qwen3-14b,location,location_grounding,事实接地性,13,12,0.8417
qwen3-14b,location,location_inference_boundary_compliance,推断边界合规性,13,13,0.9
qwen3-14b,location,location_specificity,地点具体性,13,12,0.8667
