add_model,workspace_dir,conversation_idx,memory_count,conversation_score,arithmetic_mean_score,explicit_textual_support,inference_boundary_compliance,entity_attribution_accuracy,entity_name_and_referent_consistency,pronoun_and_reference_clarity,entity_attribute_accuracy,relationship_accuracy,event_detail_accuracy,temporal_status_accuracy,temporal_value_accuracy,fact_atomicity,exact_duplicate_absence,near_duplicate_absence,entity_coverage,attribute_coverage,event_coverage,relationship_coverage,plan_and_future_commitment_coverage,conciseness,relevance_filtering,structural_consistency,field_and_schema_completeness,field_naming_and_temporal_format_consistency,contradiction_avoidance,negation_accuracy,quantifier_accuracy
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,228,0.8692,0.8692,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,1,173,0.85,0.85,0.8,0.7,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.7,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,2,336,0.8846,0.8846,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,3,321,0.8038,0.8038,0.8,0.7,0.7,0.9,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.9,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,4,364,0.8846,0.8846,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,5,282,0.8885,0.8885,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,6,390,0.8346,0.8346,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.9,0.8,0.9,0.7,0.9,0.7,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,7,326,0.8846,0.8846,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,8,233,0.8154,0.8154,0.8,0.7,0.9,0.9,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,9,309,0.8192,0.8192,0.8,0.7,0.9,0.8,0.7,0.8,0.9,0.8,0.9,0.8,0.7,0.9,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,149,0.8731,0.8731,0.8,0.9,0.9,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,103,0.9769,0.9769,0.9,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,302,0.8115,0.8115,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.8,0.7,0.8,0.7,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,201,0.8808,0.8808,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,4,219,0.8962,0.8962,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,5,186,0.8423,0.8423,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.9,0.8,0.9,0.7,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,6,261,0.85,0.85,0.8,0.9,0.7,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.7,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,7,207,0.7962,0.7962,0.7,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.9,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,8,185,0.8846,0.8846,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,9,171,0.8115,0.8115,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.8,0.7,0.8,0.7,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9
